Date	Blocks
2015-09-17	1009.0
2015-09-18	963.0
2015-09-19	931.0
2015-09-20	936.0
2015-09-21	916.0
2015-09-22	947.0
2015-09-23	917.0
2015-09-24	960.0
2015-09-25	951.0
2015-09-26	916.0
2015-09-27	975.0
2015-09-28	960.0
2015-09-29	925.0
2015-09-30	973.0
2015-10-01	1008.0
2015-10-02	979.0
2015-10-03	951.0
2015-10-04	944.0
2015-10-05	927.0
2015-10-06	936.0
2015-10-07	952.0
2015-10-08	994.0
2015-10-09	936.0
2015-10-10	886.0
2015-10-11	1151.0
2015-10-12	951.0
2015-10-13	833.0
2015-10-14	894.0
2015-10-15	931.0
2015-10-16	991.0
2015-10-17	924.0
2015-10-18	940.0
2015-10-19	951.0
2015-10-20	969.0
2015-10-21	956.0
2015-10-22	940.0
2015-10-23	941.0
2015-10-24	1014.0
2015-10-25	937.0
2015-10-26	969.0
2015-10-27	1083.0
2015-10-28	816.0
2015-10-29	907.0
2015-10-30	963.0
2015-10-31	978.0
2015-11-01	902.0
2015-11-02	983.0
2015-11-03	1013.0
2015-11-04	1060.0
2015-11-05	939.0
2015-11-06	984.0
2015-11-07	954.0
2015-11-08	951.0
2015-11-09	957.0
2015-11-10	944.0
2015-11-11	976.0
2015-11-12	921.0
2015-11-13	986.0
2015-11-14	845.0
2015-11-15	911.0
2015-11-16	1000.0
2015-11-17	937.0
2015-11-18	964.0
2015-11-19	910.0
2015-11-20	924.0
2015-11-21	990.0
2015-11-22	935.0
2015-11-23	917.0
2015-11-24	913.0
2015-11-25	986.0
2015-11-26	993.0
2015-11-27	911.0
2015-11-28	933.0
2015-11-29	947.0
2015-11-30	1000.0
2015-12-01	945.0
2015-12-02	780.0
2015-12-03	177.0
2015-12-04	152.0
2015-12-05	937.0
2015-12-06	978.0
2015-12-07	961.0
2015-12-08	960.0
2015-12-09	925.0
2015-12-10	1010.0
2015-12-11	903.0
2015-12-12	921.0
2015-12-13	977.0
2015-12-14	979.0
2015-12-15	921.0
2015-12-16	971.0
2015-12-17	941.0
2015-12-18	895.0
2015-12-19	1009.0
2015-12-20	954.0
2015-12-21	990.0
2015-12-22	986.0
2015-12-23	878.0
2015-12-24	962.0
2015-12-25	948.0
2015-12-26	941.0
2015-12-27	967.0
2015-12-28	952.0
2015-12-29	959.0
2015-12-30	909.0
2015-12-31	972.0
2016-01-01	976.0
2016-01-02	923.0
2016-01-03	965.0
2016-01-04	948.0
2016-01-05	962.0
2016-01-06	937.0
2016-01-07	1096.0
2016-01-08	1010.0
2016-01-09	977.0
2016-01-10	901.0
2016-01-11	941.0
2016-01-12	946.0
2016-01-13	967.0
2016-01-14	946.0
2016-01-15	884.0
2016-01-16	1016.0
2016-01-17	959.0
2016-01-18	851.0
2016-01-19	966.0
2016-01-20	984.0
2016-01-21	892.0
2016-01-22	965.0
2016-01-23	596.0
2016-01-24	879.0
2016-01-25	760.0
2016-01-26	357.0
2016-01-27	181.0
2016-01-28	376.0
2016-01-29	421.0
2016-01-30	1052.0
2016-01-31	1115.0
2016-02-01	774.0
2016-02-02	938.0
2016-02-03	909.0
2016-02-04	940.0
2016-02-05	944.0
2016-02-06	1144.0
2016-02-07	892.0
2016-02-08	969.0
2016-02-09	968.0
2016-02-10	879.0
2016-02-11	963.0
2016-02-12	918.0
2016-02-13	772.0
2016-02-14	941.0
2016-02-15	622.0
2016-02-16	820.0
2016-02-17	620.0
2016-02-18	267.0
2016-02-19	684.0
2016-02-20	716.0
2016-02-21	872.0
2016-02-22	240.0
2016-02-23	262.0
2016-02-24	394.0
2016-02-25	1222.0
2016-02-26	978.0
2016-02-27	943.0
2016-02-28	944.0
2016-02-29	965.0
2016-03-01	955.0
2016-03-02	885.0
2016-03-03	988.0
2016-03-04	941.0
2016-03-05	907.0
2016-03-06	819.0
2016-03-07	1048.0
2016-03-08	995.0
2016-03-09	960.0
2016-03-10	975.0
2016-03-11	959.0
2016-03-12	924.0
2016-03-13	816.0
2016-03-14	1075.0
2016-03-15	1014.0
2016-03-16	1145.0
2016-03-17	1067.0
2016-03-18	888.0
2016-03-19	1036.0
2016-03-20	918.0
2016-03-21	928.0
2016-03-22	954.0
2016-03-23	865.0
2016-03-24	969.0
2016-03-25	1033.0
2016-03-26	912.0
2016-03-27	1024.0
2016-03-28	854.0
2016-03-29	976.0
2016-03-30	812.0
2016-03-31	1005.0
2016-04-01	857.0
2016-04-02	1068.0
2016-04-03	921.0
2016-04-04	907.0
2016-04-05	895.0
2016-04-06	988.0
2016-04-07	930.0
2016-04-08	959.0
2016-04-09	961.0
2016-04-10	949.0
2016-04-11	996.0
2016-04-12	907.0
2016-04-13	1007.0
2016-04-14	888.0
2016-04-15	970.0
2016-04-16	945.0
2016-04-17	963.0
2016-04-18	978.0
2016-04-19	927.0
2016-04-20	927.0
2016-04-21	917.0
2016-04-22	906.0
2016-04-23	873.0
2016-04-24	942.0
2016-04-25	776.0
2016-04-26	1014.0
2016-04-27	803.0
2016-04-28	1020.0
2016-04-29	858.0
2016-04-30	972.0
2016-05-01	985.0
2016-05-02	917.0
2016-05-03	560.0
2016-05-04	790.0
2016-05-05	990.0
2016-05-06	923.0
2016-05-07	999.0
2016-05-08	900.0
2016-05-09	982.0
2016-05-10	952.0
2016-05-11	894.0
2016-05-12	1015.0
2016-05-13	905.0
2016-05-14	917.0
2016-05-15	979.0
2016-05-16	922.0
2016-05-17	972.0
2016-05-18	875.0
2016-05-19	1007.0
2016-05-20	877.0
2016-05-21	945.0
2016-05-22	965.0
2016-05-23	704.0
2016-05-24	948.0
2016-05-25	955.0
2016-05-26	897.0
2016-05-27	1076.0
2016-05-28	892.0
2016-05-29	1113.0
2016-05-30	940.0
2016-05-31	846.0
2016-06-01	906.0
2016-06-02	1136.0
2016-06-03	796.0
2016-06-04	748.0
2016-06-05	1251.0
2016-06-06	985.0
2016-06-07	847.0
2016-06-08	995.0
2016-06-09	784.0
2016-06-10	910.0
2016-06-11	993.0
2016-06-12	1044.0
2016-06-13	887.0
2016-06-14	1000.0
2016-06-15	693.0
2016-06-16	975.0
2016-06-17	956.0
2016-06-18	1008.0
2016-06-19	1070.0
2016-06-20	889.0
2016-06-21	821.0
2016-06-22	945.0
2016-06-23	928.0
2016-06-24	782.0
2016-06-25	979.0
2016-06-26	816.0
2016-06-27	1041.0
2016-06-28	908.0
2016-06-29	925.0
2016-06-30	1025.0
2016-07-01	1018.0
2016-07-02	978.0
2016-07-03	958.0
2016-07-04	915.0
2016-07-05	896.0
2016-07-06	849.0
2016-07-07	970.0
2016-07-08	1026.0
2016-07-09	887.0
2016-07-10	1016.0
2016-07-11	847.0
2016-07-12	966.0
2016-07-13	794.0
2016-07-14	866.0
2016-07-15	773.0
2016-07-16	1031.0
2016-07-17	818.0
2016-07-18	127.0
2016-07-19	457.0
2016-07-20	641.0
2016-07-21	625.0
2016-07-22	1245.0
2016-07-23	462.0
2016-07-24	727.0
2016-07-25	1022.0
2016-07-26	949.0
2016-07-27	803.0
2016-07-28	1310.0
2016-07-29	308.0
2016-07-30	1048.0
2016-07-31	878.0
2016-08-01	854.0
2016-08-02	1198.0
2016-08-03	840.0
2016-08-04	818.0
2016-08-05	628.0
2016-08-06	456.0
2016-08-07	995.0
2016-08-08	988.0
2016-08-09	1238.0
2016-08-10	940.0
2016-08-11	926.0
2016-08-12	901.0
2016-08-13	969.0
2016-08-14	879.0
2016-08-15	792.0
2016-08-16	923.0
2016-08-17	1013.0
2016-08-18	799.0
2016-08-19	975.0
2016-08-20	799.0
2016-08-21	940.0
2016-08-22	1004.0
2016-08-23	668.0
2016-08-24	812.0
2016-08-25	581.0
2016-08-26	1014.0
